par_id,community,text,label,text_length
1661,hopeless,"hopeless: New York in the 1920s was a mess . Let down by its venal politicians , the city 's transport was hopeless and its housing dreadful . Then along came a man with a plan . A grand plan . His name was Robert Moses . Armed with autocratic powers , and fuelled by a titanic megalomania , the urban planner ruthlessly transformed the place . Some of what he did in park creation and bridge construction was magnificent ; much of his legacy was terrible . Expressways were sliced through neighbourhoods as he prioritised cars over people . His construction projects had scant regard for the fabric or the quality of human life . Scores of traditional communities were ripped apart . Hundreds of thousands of people were displaced . All in the name of progress . And masterminded by a man who was never elected to anything .",0,825
6334,in-need,"in-need: Destitute , or clutching a smart-phone ? Rather than getting caught up in arguments about who is most in need , we must simply move as fast as we can to improve lives . Literally and metaphorically , we need to pull people out of the water first , and ask questions second . So if you can , sign up to be a foster carer , not just a refugee foster carer . Compassion should have no borders .",1,400
2327,hopeless,hopeless: Ms MacCarron said Hamal was not in a good place mentally at the time of the escape and was feeling hopeless .,0,119
963,immigrant,"immigrant: Let me crave your indulgence just a moment longer to pose : Which independent country on this planet ( Earth ) would its politicians , regulators and law enforcers sit idly while some recalcitrant foreign illegal immigrants despoil its natural resources and denude the environment ?",0,293
227,poor-families,"poor-families: """""" Upper caste men make fun of us . They think our lives do n't matter because we are daughters of poor families . They always look at us with lustful eyes . """"""",0,177
1981,in-need,in-need: Cricket : NZ in need of dynamism,0,41
1095,hopeless,"hopeless: A hopeless romantic environmental activist is planning to sail 8,000 miles -- from Marina Del Rey , California to the Cebu Island in the Philippines to marry his fianc ? e Sharon , while also raising awareness about the plight of dolphins , who are senselessly killed and captured , around the world .",0,311
1734,hopeless,"hopeless: In the ground of objection , Mr Mbamba had told the court that the application in question was hopelessly time barred , as was filed outside the prescribed time of 14 days from the date under which the petition seeking to challenge the election results was lodged .",0,275
1300,hopeless,"hopeless: While traversing various communities in Jamaica , one can see the hopelessness on the faces of many of our youth . Today , you can count the number of idle hands on the road and can not help but wonder how the human capital of this country can be put to more productive use . Unless we are able to create more jobs very soon , the crime rate will spiral .",1,365
861,immigrant,"immigrant: Fowler 's tale prompted a backlash , including a revival of the #DeleteUber movement , which stemmed from accusations that the San Francisco ride service aimed to profit from a protest last month at New York 's John F. Kennedy Airport following President Donald Trump 's executive order banning refugees and immigrants from certain countries .",0,354
1182,refugee,"refugee: Assistant Secretary of State for the Bureau of Population , Refugees , and Migration Anne Richard said additional U.S. personnel had been deployed to vet refugees overseas and that many other refugees had already been vetted and were awaiting resettlement .",0,266
2395,hopeless,"hopeless: Given these tough financial times , the bank 's own cost saving drive proved hopelessly ineffective . The main cost inflators were people , processes and systems .",0,173
1006,disabled,"disabled: """""" The City has failed to give us this land , we are now taking it , """" said resident Nomathansanqa Nomtshongwana . She had been living in a one-room , backyard shack in Vrygrond with four children . """" I am using my disabled child 's grant for rent because I am unemployed . The money is meant for her , not me , but there is nothing I can do , """" she said .""",0,371
1504,vulnerable,"vulnerable: Prof Faisal noted that children were vulnerable as they may not understand the dangers of the road , and their small physique makes them less visible to motorists .",0,176
5406,disabled,disabled: Rapper 2 Chainz has offered to pay a year 's worth of rent for disabled veteran and single mother Dierdre Plater . The gift is part of his Tru Foundation charity and funded by proceeds from his ugly sweater collection .,1,229
6420,refugee,"refugee: ""Homeless children are """" living like refugees in their own country """" , deprived of the ability to make choices about when they eat , and in many cases suffering high levels of anxiety about their parents ' health .""",1,226
2178,refugee,"refugee: The report , which was first reported by Reuters , resulted from more than a thousand interviews of Rohingya men and women in refugee camps in neighbouring Bangladesh , where almost 700,000 Rohingya have fled after a military campaign last year in Myanmar 's Rakhine State .",0,283
6951,in-need,in-need: New start-up The Monthly Cois raising money to roll out a subscription service where women can order 100 per cent cotton tampons online and have them delivered to their doorstep . Every purchase will see a box of tampons donated to a women in need .,1,258
2462,homeless,homeless: Pro-Beijing lawmaker Kwok Wai-keung has faced backlash from netizens after boasting of the government 's clearance of homeless people .,0,145
8559,disabled,"disabled: Thankfully , while Krishna Tulasi ca n't entirely escape from the trope of disabled persons with hearts of gold , it manages to do better than many previous films with disabled protagonists .",1,201
3971,homeless,homeless: But the goal is n't only to get the reality of homelessness onto social media .,1,89
7729,women,"women: ""Speaking at the National Muslim Women Conference in Tamale under the theme , """" The Empowered Muslim , a Significant Figure for National Development """" , Madam Salami mentioned that the conference was organized to help young ladies to uncover and successfully accomplish their dreams and be able to become responsible women in future .""",1,344
329,in-need,in-need: O'Brien said the UN would continue to insist on the parties ' obligations to see sustained humanitarian assistance delivered to those in eastern Aleppo and all who were in need throughout Syria .,0,204
2077,migrant,migrant: An exodus of Haitian migrants seeking asylum at the Canadian border is being fuelled by incomplete and false information spreading like wildfire throughout the community .,0,180
1553,in-need,"in-need: No . I 'm 71 , which is too old . I 'm in need of my afternoon nap these days -- even though I could easily do that in the Houses of Parliament ...",0,156
1611,in-need,"in-need: Detroit 's urban farmers have proven some of the most innovative people in the city . They 've reclaimed vacant lots and learned how to bring fresh , nutritious food to neighborhoods in need of it .",0,207
2331,vulnerable,"vulnerable: In addition , 8,500 of the most vulnerable people -- such as children under five and pregnant and nursing mothers -- will receive six months of nutrition assistance .",0,178
843,vulnerable,"vulnerable: """""" Until the vulnerable know their rights , until victims and survivors get justice , until perpetrators are adequately punished and until all forms of violence come to an end in Nigeria and indeed in the world , """" she said .""",0,240
2052,poor-families,"poor-families: """""" We need ways to make healthy , nutritious food more available at home and school , especially in poor families and communities , and regulations and taxes to protect children from unhealthy foods . """"""",0,220
2315,in-need,"in-need: In these troubled times , Malaysians need to remember that the night is the darkest hour is just before dawn . The fight for human rights and better Malaysia can not be stopped and will only continue to grow . All Malaysians can do and all we can do is to stand together in solidarity with our friends in need and continue to march on against repression .",0,364
2316,refugee,"refugee: A refugee is that boy . A refugee is a person , with a story , a life , a family , accomplishments , hardships , hopes and a desire for safety and belonging .",1,167
585,immigrant,"immigrant: ""This emotionally charged language also characterised the EU referendum campaign coverage , with Boris Johnson calling the Remain campaign """" project fear """" and the Remain campaigners accusing Leave of racism and scaremongering against immigrants . <h> The future of experts""",0,287
1211,vulnerable,"vulnerable: NParks , the Singapore Land Authority and the Housing Board have been working to identify and replace storm-vulnerable trees since 2003 , in particular the Albizia , which has brittle wood and is relatively more prone to uprooting .",0,244
